PrimaryKey,DateUpdated,ProcuringAgencyOrganisation,ProjectName,ProjectShortDescription,ParentProjectID,ProjectStatus,FundingStatus,ProcurementType,ProcurementMethod,ProjectRegion,ProjectCityTown,ProjectSuburb,ProjectSector,EstimatedProjectValueRange,EstimatedQuarterBusinessCaseStart,EstimatedQuarterBusinessCaseCompletion,EstimatedQuarterProcurementStart,EstimatedQuarterProcurementCompletion,EstimatedQuarterConstructionStart,EstimatedQuarterConstructionCompletion,EstimatedQuarterProjectRangeStart,EstimatedQuarterProjectRangeCompletion,ProjectInfoURL,EstimatedProjectValueNote,Contact,Latitude,Longitude
IP005992,2023-11-03,McConnell Property Limited,Build to Rent - Gasometer Takapuna.,Market leading 'Build to Rent' residential development of 350 apartments  shared amenity and retail/commercial in Takapuna. A critical step of Eke Panuku's plan for the regeneration of Takapuna as identified in the Takapuna Framework Plans.,,In planning,Funding source to be confirmed,To be determined,To be determined,Auckland,,,Housing,250 - 500 million,,,,,,,2021-Q2,2026-Q3,,,reception@mpl.co.nz,,
IP006539,2023-11-06,Powerco Limited,Belk Road Zone Substation.,Establish a new zone substation and subtransmission circuits to supply growth in the Tauriko area of Tauranga.,,In planning,Funding source confirmed,To be determined,To be determined,Bay of Plenty,,,Energy,50 - 100 million,,,,,,,2022-Q2,2026-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006541,2023-11-06,Powerco Limited,Te Tumu Zone Substation.,Establish a new zone substation and subtransmission circuits to supply growth in the Te Tumu area.,,Early planning,Funding source confirmed,To be determined,To be determined,Bay of Plenty,,,Energy,5 - 25 million,,,,,,,2032-Q2,2034-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006542,2023-11-06,Powerco Limited,Welcome Bay 2nd Zone Substation.,Establish a new zone substation and subtransmission circuits to supply growth in the Welcome Bay area.,,Early planning,Funding source confirmed,To be determined,To be determined,Bay of Plenty,,,Energy,5 - 25 million,,,,,,,2026-Q2,2032-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006543,2023-11-06,Powerco Limited,Urenui Zone Substation.,Establish a new zone substation and subtransmission circuits to improve network security in the Urenui area.,,Early planning,Funding source confirmed,To be determined,To be determined,Taranaki,,,Energy,5 - 25 million,,,,,,,2024-Q2,2027-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006544,2023-11-06,Powerco Limited,Morrinsville substation upgrade.,Upgrade the Morrinsville substation to supply growth in the area.,,In planning,Funding source confirmed,To be determined,To be determined,Waikato,,,Energy,1 - 5 million,,,,,,,2022-Q2,2027-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006545,2023-11-06,Powerco Limited,Rangiuru Business Park substation.,Establish a new zone substation to supply the Rangiuru Business Park.,,In procurement,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Energy,5 - 25 million,,,,,,,2023-Q2,2029-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006549,2023-11-06,Powerco Limited,Midhurst Zone Substation.,Establish a new zone substation and subtransmission circuits to supply growth in the Midhurst area.,,In planning,Funding source confirmed,To be determined,To be determined,Bay of Plenty,,,Energy,5 - 25 million,,,,,,,2023-Q1,2023-Q4,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006550,2023-11-06,Powerco Limited,Oropi-Ohauiti substation.,Establish a new zone substation and subtransmission circuits to supply growth in the Oropi area.,,Early planning,Funding source confirmed,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2030-Q2,2032-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
IP006551,2023-11-06,Powerco Limited,Normanby Zone Substation.,Establish a new zone substation and subtransmission circuits to improve network security in the Normanby area.,,Early planning,Funding source confirmed,To be determined,To be determined,Manawatū - Whanganui,,,Energy,5 - 25 million,,,,,,,2024-Q2,2027-Q1,https://www.powerco.co.nz/,,https://www.powerco.co.nz/Contact=contact,,
