PrimaryKey,DateUpdated,ProcuringAgencyOrganisation,ProjectName,ProjectShortDescription,ParentProjectID,ProjectStatus,FundingStatus,ProcurementType,ProcurementMethod,ProjectRegion,ProjectCityTown,ProjectSuburb,ProjectSector,EstimatedProjectValueRange,EstimatedQuarterBusinessCaseStart,EstimatedQuarterBusinessCaseCompletion,EstimatedQuarterProcurementStart,EstimatedQuarterProcurementCompletion,EstimatedQuarterConstructionStart,EstimatedQuarterConstructionCompletion,EstimatedQuarterProjectRangeStart,EstimatedQuarterProjectRangeCompletion,ProjectInfoURL,EstimatedProjectValueNote,Contact,Latitude,Longitude
IP004840,15/09/2023,Bay of Plenty Regional Council,Whakatane River flood protection - Urban. Project Future Proof.,Community consultation. Upgrade of existing stopbanks and floodwalls in accordance with the Rivers and Drainage Asset Management Plan.,,In planning,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,5 - 25 million,2020-Q4,2021-Q2,,,2023-Q3,2024-Q2,2020-Q4,2024-Q2,,,,,
IP008136,15/09/2023,Bay of Plenty Regional Council,Whakatāne-Tauranga scheme canal construction.,Upgrade exisiting canal in accordance with the Rivers and Drainage Asset Management Plan.,,In planning,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2024-Q3,2025-Q2,2020-Q4,2025-Q2,,,,,
IP008137,15/09/2023,Bay of Plenty Regional Council,Trident stopbank upgrade.,Upgrade existing stopbank in accordance with Rivers and Drainage asset management plan.,,In planning,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2024-Q3,2025-Q2,2020-Q4,2025-Q2,,,,,
IP009806,15/09/2023,Bay of Plenty Regional Council,Safeguarding Our Stopbanks.,Remove structures in stopbanks around Whakatāne township and remediate stopbank.,,Under construction,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2023-Q1,2023-Q2,,,2023-Q3,2027-Q2,2023-Q3,2027-Q2,,,,,
IP004841,15/09/2023,Bay of Plenty Regional Council,Ngongotaha Flood Mitigation Works.,Flood risk management work. Where appropriate  upgrade of existing  and establishment of new flood protection structures in the lower Ngongataha catchment - Rotorua.,,In planning,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2022-Q1,2024-Q2,2019-Q3,2025-Q2,,,,,
IP006663,15/09/2023,Bay of Plenty Regional Council,Ford Road Pump Station Replacement.,Remove existing pump station and build a new pump station adjacent to the Diagonal Drain pump station.,,In planning,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,5 - 25 million,2020-Q4,2021-Q2,,,2023-Q3,2024-Q2,2021-Q3,2024-Q2,,,,,
IP006664,15/09/2023,Bay of Plenty Regional Council,Te Puke Storm Water.,Implement storm water mitigation solutions to account for increased run-off into scheme drainage system.,,Early planning,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2023-Q3,2025-Q2,2022-Q3,2025-Q2,,,,,
IP006666,15/09/2023,Bay of Plenty Regional Council,Utuhina Stopbank Construction.,Flood risk management work. Where appropriate  upgrade of existing  and establishment of new flood protection structures in the Utuhina catchment - Rotorua  in accordance with Rivers and Drainage AMP.,,In planning,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,< 1 million,2020-Q4,2021-Q2,,,2024-Q3,2025-Q2,2019-Q3,2025-Q2,,,,,
IP006667,15/09/2023,Bay of Plenty Regional Council,Waioeka-Otara Stopbank Construction.,Upgrade existing stopbank in accordance with Rivers and Drainage asset management plan.,,In planning,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2023-Q3,2024-Q2,2020-Q4,2024-Q2,,,,,
IP006669,15/09/2023,Bay of Plenty Regional Council,Rangitāiki Stopbank Construction.,Upgrade work to existing stopbank on true left of Rangitāiki River downstream of Thornton Rd in accordance with Rivers and Draianage asset management plan.,,In procurement,Funded for delivery,To be determined,To be determined,Bay of Plenty,,,Water,1 - 5 million,2020-Q4,2021-Q2,,,2023-Q1,2023-Q4,2019-Q3,2023-Q4,,,,,
