"PrimaryKey","ProjectName","ProjectStatus","FundingStatus","ProcurementType","ProjectRegion","ProjectCityTown","CommissionAssignedInfrastructureSector","EstimatedProjectValueRange","EstimatedQuarterBusinessCaseStart","EstimatedQuarterBusinessCaseCompletion","EstimatedQuarterConstructionStart","EstimatedQuarterConstructionCompletion","EstimatedQuarterProjectRangeStart","EstimatedQuarterProjectRangeCompletion","planned_duration","funding_status_indicator","ProjectRegionCode","GDP_Start","CPI_Start","GDP_End","CPI_End","GDP_Delta_Percent","CPI_Delta_Percent","avg_group_delay","predicted_delay","likelihood"
"IP009872","Second Bridge Watermains","Early planning","Funding source confirmed","To be determined","Canterbury","Ashburton","Transport","1 - 5 million",NA,NA,NA,NA,2026-07-01,2029-04-01,1005,1,3,73.65541,2.048457,77.72758,1.99759,5.52867739111085,-2.48318612497114,-76.6451612903226,-18.6315536180291,70.2571133336168
"IP006334","Airfield Resilience Work Package 2","Under construction","Fully funded","Limited","Auckland","Auckland","Transport","50 - 100 million",NA,NA,NA,NA,2022-01-01,2024-07-01,912,0,1,67.989,5.949008,69.52124,3.42672,2.2536586800806,-42.3984637438712,-324.35,-105.043990704704,47.8358971599343
"IP006337","Domestic Processor","In procurement","Part funded","Selective","Auckland","Auckland","Transport","1 billion +",NA,NA,NA,NA,2021-10-01,2028-10-01,2557,0,1,65.62,4.933586,77.72758,1.99759,18.4510515086864,-59.5103845357109,-324.35,-629.16419813029,37.3270809876929
"IP006709","Core Roading Network: Eastern Ring Route & South-eastern Access early works","On hold","Fully funded","Limited","Auckland","Auckland","Transport","25 - 50 million",NA,NA,NA,NA,2022-01-01,2024-07-01,912,0,1,67.989,5.949008,69.52124,3.42672,2.2536586800806,-42.3984637438712,-324.35,-198.463376341708,45.9628017580128
"IP006710","Baggage Enabling","Under construction","Fully funded","Limited","Auckland","Auckland","Transport","25 - 50 million",NA,NA,NA,NA,2021-07-01,2024-10-01,1188,0,1,68.294,3.342884,69.83852,2.715554,2.26157495534016,-18.7661312806547,-324.35,-268.144633052535,44.5656651716911
"IP006711","Terminal Integration Enabling: Forecourt Roading and Utilities","Under construction","Fully funded","Direct","Auckland","Auckland","Transport","50 - 100 million",NA,NA,NA,NA,2021-07-01,2026-01-01,1645,0,1,68.294,3.342884,72.54655,2.100296,6.22682812545758,-37.1711372575297,-324.35,-273.836114165187,44.4515487382598
"IP006712","Terminal Integration Enabling: West Enabling","Under construction","Part funded","Limited","Auckland","Auckland","Transport","100 - 250 million",NA,NA,NA,NA,2021-07-01,2027-07-01,2191,0,1,68.294,3.342884,75.72233,2.008215,10.8769877295224,-39.9256749561157,-324.35,-265.884664937393,44.6109784207142
"IP006713","Terminal Integration Enabling: East Enabling","Under construction","Fully funded","Direct","Auckland","Auckland","Transport","100 - 250 million",NA,NA,NA,NA,2021-07-01,2026-07-01,1826,0,1,68.294,3.342884,73.65541,2.048457,7.85048466922425,-38.7218641149379,-324.35,-187.125080692924,46.1901390424592
"IP008635","Remote Stands Stage 2","Under construction","Fully funded","Limited","Auckland","Auckland","Transport","250 - 500 million",NA,NA,NA,NA,2023-04-01,2025-07-01,822,0,1,69.266,6.654991,71.39126,2.23914,3.0682585972916,-66.3539740324217,-324.35,668.025299551306,63.3362402961204
"IP008889","Terminal Integration Enabling: Check-in Expansion","In procurement","Part funded","Limited","Auckland","Auckland","Transport","100 - 250 million",NA,NA,NA,NA,2023-01-01,2027-10-01,1734,0,1,69.505,7.219251,76.22636,2.002692,9.67032587583628,-72.2590058165314,-324.35,-156.322191043842,46.807749087464
